target	rt.m	rt.sd	rt.n	zrt.m	zrt.sd	zrt.n	acy	acy.n	nbphon	puPhon	pld20	accd	fb	ff	ft
ôta	1095.2776	164.08982	35	0.1955844039	0.8862715	35	0.8139535	43	3	3	1.1	439	8.03999999	0.46	8.5
ôtaient	1144.4955	197.51584	42	0.424462791	0.9270014	42	0.893617	47	3	3	1.25	466	1.07999998	0.01	1.09
ôter	950.9672	156.06005	38	-0.6689466859	1.0319603	38	0.8085106	47	3	3	1	369	10.00000012	5.57	15.57
âcre	1006.39	138.06237	38	-0.3389437433	0.9315166	38	0.8085106	47	3	3	1	417	10.13999998	0.45	10.59
âgé	892.9493	109.40291	48	-1.15730964	0.6644293	48	0.96	50	3	2	1	434	14.39000001	7.67	22.06
âme	903.0969	129.88356	43	-0.9860528676	0.8591348	43	0.9148936	47	2	2	1	460	129.5300006	122.22	251.75
âne	940.9395	215.92156	44	-0.9381867268	1.0124263	44	0.9565217	46	2	2	1	476	14.32000017	12.33	26.65
âneries	965.3555	216.38661	44	-0.747293812	0.9615774	44	0.9361702	47	4	4	2.75	423	1.88999998	1.64	3.53
âpre	919.7666	116.98047	44	-0.9300834054	0.6754342	44	0.8979592	49	3	3	1.15	402	7.69999995	1.32	9.02
ça	1071.1666	174.69033	37	0.0509267397	0.9475643	37	0.755102	49	2	1	1	343	2483.649997	8971.85	11455.5
ébène	1051.0368	172.21468	43	-0.0721062382	0.8108019	43	0.877551	49	4	3	1.85	526	4.45999997	0.62	5.08
ébéniste	1091.4407	181.50698	44	0.085947313	0.7290784	44	0.9777778	45	7	7	2.75	710	1.34999999	0.11	1.46
ébahi	969.7621	174.01246	46	-0.6976281272	0.8655281	46	0.9583333	48	4	4	1.95	513	2.09999997	0.29	2.39
ébats	991.233	203.8891	38	-0.7083742229	1.0123384	38	0.8666667	45	3	3	1.75	342	2.3	0.41	2.71
ébaucha	1077.9267	194.45996	40	0.1380280253	1.1326574	40	0.8541667	48	5	5	2.35	588	2.36000002	0	2.36
ébauchant	1097.1766	233.12938	40	0.171253885	1.3157117	40	0.8333333	48	5	5	2.35	553	0.67999999	0	0.68
ébauche	1039.6713	151.96952	43	-0.0547389929	0.9931644	43	0.9777778	45	4	4	1.85	615	5.13999998	1.18	6.32
ébaucher	949.8988	113.33042	45	-0.7401560967	0.6328323	45	0.92	50	5	5	1.85	557	1.15	0.03	1.18
ébloui	953.9804	158.50847	46	-0.7177281546	0.8398817	46	1	47	5	5	2.45	500	8.64999993	0.7	9.35
éblouir	1111.9452	165.62701	43	0.3462767784	0.9294552	43	0.9782609	46	6	6	2.65	748	2.3	0.92	3.22
éblouis	1097.9729	187.044	48	0.2074180926	0.9202052	48	1	49	5	5	2.45	615	3.58000002	0.78	4.36
éboueur	1052.9109	172.69583	42	-0.1429913251	0.7601851	42	1	42	5	4	2.45	780	0.61000001	0.97	1.58
ébouriffé	1167.1035	214.10971	47	0.5801960977	0.885427	47	1	47	7	7	2.75	727	1.48	0.06	1.54
ébrécher	1131.2991	203.80076	39	0.2904354994	1.116487	39	0.8863636	44	6	6	1.95	662	0.14	0	0.14
ébranla	1050.6216	127.68336	47	-0.057978619	0.8981936	47	1	47	6	6	2.6	639	3.85000002	0.15	4
